id,player,team,pos,age,adp,team_pass_per,team_run_per,games_played,pass_comp,pass_att,comp_per,pass_yds,pass_yds_per_game,pass_tds,ints,rush_att,rush_yds,rush_yds_per_att,rush_yds_per_game,rush_tds,rec_targets,receptions,rec_yds,rec_yds_per_reception,rec_yds_per_game,rec_tds,fumbles,fumbles_lost,total_tds,2pt_conv,wk1_pts,wk1_ovr_rank,wk1_pos_rank,wk2_pts,wk2_ovr_rank,wk2_pos_rank,wk3_pts,wk3_ovr_rank,wk3_pos_rank,wk4_pts,wk4_ovr_rank,wk4_pos_rank,wk5_pts,wk5_ovr_rank,wk5_pos_rank,wk6_pts,wk6_ovr_rank,wk6_pos_rank,wk7_pts,wk7_ovr_rank,wk7_pos_rank,wk8_pts,wk8_ovr_rank,wk8_pos_rank,wk9_pts,wk9_ovr_rank,wk9_pos_rank,wk10_pts,wk10_ovr_rank,wk10_pos_rank,wk11_pts,wk11_ovr_rank,wk11_pos_rank,wk12_pts,wk12_ovr_rank,wk12_pos_rank,wk13_pts,wk13_ovr_rank,wk13_pos_rank,wk14_pts,wk14_ovr_rank,wk14_pos_rank,wk15_pts,wk15_ovr_rank,wk15_pos_rank,wk16_pts,wk16_ovr_rank,wk16_pos_rank,wk17_pts,wk17_ovr_rank,wk17_pos_rank,wk18_pts,wk18_ovr_rank,wk18_pos_rank,total_pts,avg_pts_per_game,pt_var,pt_std,pt_coef_var,pos_rank,avg_pos_rank,pos_rank_var,pos_rank_std,pos_rank_coef_var,ovr_rank,avg_ovr_rank,ovr_rank_var,ovr_rank_std,ovr_rank_coef_var
1,Patrick Mahomes II,KC,QB,27,29.8,0.61,0.39,17,435,648,0.67,5250,308.82,41,12,61,358,5.87,21.06,4,1,1,6,6,0.35,0,5,0,45,1,34.9,2,1,17.3,38,13,18.1,36,11,24.4,19,6,30.5,7,2,21.6,20,11,27.9,11,9,0,0,0,35.1,4,12,32.1,5,9,27.5,9,6,19.4,34,13,19.8,25,8,22.8,16,14,32.7,6,4,23.8,21,6,26.5,10,5,15,42,13,417.4,24.55,39.95,6.32,0.2575,1,8.41,16.63,4.08,0.4848,1,17.94,168.93,13,0.7244
2,Josh Allen,BUF,QB,26,20.8,0.572,0.428,16,359,567,0.63,4283,267.69,35,14,124,762,6.15,47.63,7,0,0,0,0,0,0,13,5,42,1,33.5,3,2,29.7,12,4,26.7,8,3,24.5,18,5,36.2,1,1,26.4,8,8,0,0,0,19.6,36,13,26.8,7,13,21.6,23,13,12.6,69,22,30.9,3,2,16.9,39,16,20.6,25,17,35.9,2,2,25,16,4,2.7,183,27,22.8,9,7,395.5,24.72,72.12,8.49,0.3436,2,9.35,60.62,7.79,0.8324,2,27.18,1916.9,43.78,1.611
3,Jalen Hurts,PHI,QB,24,55.3,0.496,0.504,15,306,460,0.67,3701,246.73,22,6,165,760,4.61,50.67,13,0,0,0,0,0,0,9,2,35,2,24.7,15,4,34,7,3,27.6,7,2,17,49,15,27.7,10,3,16.9,37,15,0,0,0,28.4,11,4,20,20,16,22.8,17,11,24.2,16,10,29.8,4,3,34.4,3,3,30.4,6,10,36.7,1,1,0,220,29,0,0,0,9.5,89,22,378,25.2,121.01,11,0.4365,3,9.44,66.66,8.16,0.8651,3,32,4820.15,69.43,2.1696
4,Austin Ekeler,LAC,RB,27,3.8,0.638,0.362,17,0,0,0,0,0,0,0,204,915,4.49,53.82,13,127,107,722,6.75,42.47,5,5,3,18,0,11.2,99,26,18.4,36,4,13.3,83,20,34.9,2,1,35.9,2,1,24.3,13,13,36.7,2,10,0,0,0,24.1,12,20,13.3,71,29,18,37,18,25,12,4,13.2,74,25,24.4,13,21,15,58,15,23.9,20,5,32.1,5,2,9,96,26,372.7,21.92,81.13,9.01,0.4109,4,14.12,96.99,9.85,0.6976,4,37.35,1237.24,35.17,0.9417
5,Justin Jefferson,MIN,WR,23,5.5,0.625,0.375,17,2,2,1,34,2,0,0,4,24,6,1.41,1,184,128,1809,14.13,106.41,8,0,0,9,1,39.4,1,2,10.8,98,45,4.4,177,71,31,6,4,30.3,8,5,16.7,40,31,0,0,0,15.8,57,31,25.5,10,25,35.3,3,19,6.3,127,69,29.3,5,3,18.6,29,24,33.3,3,27,30.3,8,4,31.3,4,3,2.5,186,77,7.8,105,46,368.7,21.69,144.88,12.04,0.5549,1,28.59,641.88,25.34,0.8862,5,51,4030,63.48,1.2448
6,Christian McCaffrey,SF,RB,26,2,0.504,0.496,17,1,1,1,34,2,1,0,244,1139,4.67,67,8,108,85,741,8.72,43.59,5,1,0,14,0,15.7,57,17,16.8,40,5,13.5,81,19,25.8,15,6,23.4,21,8,22.8,17,14,8.2,121,42,40.3,2,7,0,0,0,17.7,44,24,17.6,41,21,8.9,127,37,28.6,7,6,29.3,7,19,25.8,14,4,13.8,63,17,31.3,6,3,16.9,30,10,356.4,20.96,72.73,8.53,0.4069,2,15.24,127.19,11.28,0.7402,6,40.76,1481.57,38.49,0.9442
7,Joe Burrow,CIN,QB,26,60.3,0.605,0.395,16,414,606,0.68,4475,279.69,35,12,75,257,3.43,16.06,5,0,0,0,0,0,0,6,3,40,0,22.2,21,6,16.6,44,15,23,18,5,20.1,35,11,18.3,36,8,32.5,1,6,39.2,1,6,14.5,64,23,19.1,23,17,0,0,0,28.7,7,5,18,42,14,30,5,4,17.6,39,21,25.8,14,6,25.5,13,3,6.3,128,23,11.6,70,18,350.7,21.92,65.15,8.07,0.3682,4,11.24,49.44,7.03,0.6258,7,33,1021.5,31.96,0.9685
8,Tyreek Hill,MIA,WR,28,19.8,0.6,0.4,17,0,0,0,0,0,0,0,7,32,4.57,1.88,1,170,119,1710,14.37,100.59,7,1,0,8,0,18,44,18,42,3,4,5.3,171,68,25.9,13,7,13,72,26,29.7,4,19,14.2,60,38,31.5,8,14,27.3,6,23,15.4,55,37,0,0,0,15,64,25,29.6,6,14,18.1,37,39,21.9,27,9,14.3,55,24,15.7,47,17,4.3,153,66,347.2,20.42,96.51,9.82,0.4811,3,26.35,339.12,18.42,0.6988,8,48.53,2382.26,48.81,1.0057
9,Davante Adams,LV,WR,30,12.3,0.578,0.422,17,0,0,0,0,0,0,0,3,-1,-0.33,-0.06,0,180,100,1516,15.16,89.18,14,1,0,14,0,30.1,6,4,9.2,115,51,14.2,75,36,19.5,36,15,27.4,12,6,0,0,0,17.5,36,30,1.2,193,83,36.6,3,22,27.6,8,23,33.1,3,18,14.4,71,27,37.7,1,11,10.1,85,62,6.8,136,56,3.5,172,71,34.3,4,4,12.3,62,26,335.5,19.74,145.23,12.05,0.6105,2,32.06,586.93,24.23,0.7557,9,59.88,3887.49,62.35,1.0412
10,Josh Jacobs,LV,RB,24,49.5,0.578,0.422,17,0,0,0,0,0,0,0,340,1653,4.86,97.24,12,64,53,400,7.55,23.53,0,3,1,12,0,8.3,130,35,9.1,117,26,14.7,66,15,34.5,3,2,30.3,8,3,0,0,0,36.5,3,11,7.4,130,43,11.7,70,33,22.6,19,19,19,33,17,48.3,1,2,21,21,10,19.4,30,25,13,77,18,6,133,37,19.5,29,11,7,121,33,328.3,19.31,144.76,12.03,0.6231,1,20,167.5,12.94,0.6471,10,58.29,2559.35,50.59,0.8678
